bb,iaca.hsw,llvm-mca.13-r+a.hsw,llvm-mca.9-r+a.hsw,llvm-mca.8-r+a.hsw,uica.hsw,osaca.0.4.6.hsw,ithemal.bhive.hsw,difftune.artifact.hsw
c4437d05f62a41c1e50066440385800000000fbaea2ac4e20dbc9780000000,5.0,5.11,5.11,5.11,5.0,1.25,4.26637481689,5.05
c4e32d3867402a4d0fbdcec53dd89e80000000c46279027540c571eedd,2.96,3.11,3.11,3.11,3.0,3.5,5.8605255127,5.06
c5e5fc9580000000c4633902b6800000002ac549ead166440f3a0efb2ac5025f9680000000,2.0,2.11,2.11,2.11,3.0,2.0,5.00126220703,3.05
0fbc85800000004883be800000002ac5e5efbe80000000c4c17ddbf04883d22a,1.9,2.59,2.59,2.59,3.0,2.0,1.8769969177199999,5.03
c4c27d78ffc520586640c5fa6f6740c4c12172e62ac462f5acee,5.0,5.04,5.04,5.04,5.0,1.5,5.25733581543,4.06
f3450f58e9c462d9bb7e40480fbdd1c462399f7640c4e37916f22a,5.0,5.09,5.09,5.09,5.0,5.0,7.90385009766,5.08
660f3a0a5f402a66440f7065402a4c0f439f80000000c46205bae9c4628da86640,4.79,7.05,7.05,5.13,5.0,5.0,3.3791857910200003,4.05
f20f10dcc4e27917fec4425100e66683a6800000002ac4627958a680000000,2.83,3.03,7.04,3.03,6.0,6.0,5.40951538086,4.04
c5cd57868000000083e02a83cb00c4c17d72f72a3c00,1.21,1.6,1.6,1.6,1.5,1.25,1.64475143433,3.07
660f768d80000000c4c33502f02a66440f6faf80000000c5ad6bf70fbaa68000000000,1.5,2.08,2.08,2.08,2.18,1.19,3.15053619385,4.06
c1a78000000000660ff99f80000000660fdacc490f44c0c57c51dd,14.0,14.13,14.13,14.13,14.0,14.0,6.76886657715,6.04
488395800000002ac5dac29e800000002ac56168d549f7c32a000000f3450fe6f1,2.49,3.1,9.03,3.1,7.0,7.0,6.95542297363,4.07
c52176c94c0fafa58000000066440f383fda48c16e4000c18e8000000000,3.0,4.09,15.11,4.09,6.0,6.0,6.263465576170001,6.05
c57b2d6e40660f3a0bc22a66440f5ecac5f1f64f404c0faf5d40,13.95,20.04,20.04,20.04,10.0,14.0,13.338690185499999,4.05
f2450f5de4c5a572f72a660f76d2c5745cb780000000c08f8000000000,2.7,3.11,8.14,3.11,6.0,3.0,5.72668457031,4.07
0fbab580000000004983d200660ff9f6c4428198e5c4e22d9af5,5.0,5.04,7.04,6.04,6.0,6.0,6.12934020996,6.07
c443294ac4a04411754083e02a83e800c4c27958c2,2.95,3.1,9.04,3.1,7.0,7.0,5.77304138184,2.06
c46265bce1c5bc58d24883fa00142a48ffca,4.79,5.03,5.03,5.03,5.0,3.0,4.99210418701,3.03
c5a5db9f80000000c4417c5ac1c4627d305d40c571639680000000c5f0168780000000,2.96,4.11,4.11,4.11,4.0,3.0,3.36050048828,4.05
c5adfa664066450f3840ce66440f6f9580000000440f5ca580000000440f5ba580000000,10.0,10.03,10.03,10.03,10.0,2.0,4.44488311768,5.04
c58c57bd8000000098c56dfde2c5135f8f80000000c4627d59d5,1.79,2.1,2.1,2.1,2.0,2.0,5.481573486329999,4.08
66410f3a21c02ac4e37d05cf2a410f40c548c14f400048ff4f40,2.21,3.09,15.32,3.09,12.0,2.0,5.78558776855,6.09
c463714be7a0f3440f51c4c5bc56eb4863c3c56dfe7640,7.0,11.04,11.04,7.08,7.0,7.0,9.08471435547,4.07
4d0f44e383a7800000002a66f3440fbc9780000000660f755d40440f288680000000,2.0,3.1,7.06,3.1,6.0,6.0,6.5419720459,5.04
660f3a41a7800000002a66440f2ecdc57dfdf6c46265026d40c4c129d8d8,9.0,9.12,9.12,9.12,9.0,4.0,6.194633178709999,5.05
c441796ec1c57ee6d8664183d22ac462f1bbe6c599547d40,5.0,5.07,5.07,5.07,5.0,5.0,6.26749572754,4.1
c5e358f8c46291b94540c4c10d59d2c4625d364e40c4c11158ec,4.96,5.08,5.08,5.08,5.0,5.0,7.1951574707,3.07
83f02a4c0fb3d866440f67e366c1af800000002ac5d05cfd,1.88,2.09,7.04,2.09,6.0,6.0,5.85688293457,5.05
66837d4000f30f5f7740c44109f9e2c585fe97800000004421eb,2.96,3.08,3.08,3.08,3.0,3.0,4.62920196533,4.04
c46239bc6740f3440f59dd440f15eaf2410f5ddc0f4f4540,5.0,7.04,7.04,5.12,5.0,5.0,6.82873413086,3.06
f3440f70f92ac57d284f40664423a78000000049c1f900c57950f6,1.23,1.58,1.58,1.58,1.69,1.0,2.90222137451,4.07
480f495d40c4c2f9bbe40f9e4640440fbc5540c4c27d1eee,5.0,7.06,7.08,5.03,5.0,5.0,7.206110839839999,4.07
c4410969c9f69780000000c594c6c72ac52968b58000000048a92a000000,2.79,3.07,7.05,3.07,6.0,3.0,6.351591186519999,6.04
66440fd8a580000000f2440f10af80000000c4427d17d5c4637d1977402ac4427d79ec,1.96,2.13,2.13,2.13,3.0,3.0,5.08535064697,3.06
c53a5e664048f7a780000000c4e3090246402ac4417951cbf2440f58fd,21.0,21.05,21.05,21.05,15.0,21.0,12.1278283691,5.97
6683e02ac4415965c9c4e2099f8f800000001400c59b5cbf80000000,4.97,5.08,5.08,5.08,5.0,3.0,11.4089624023,4.06
c5797e9d80000000c4417851f0c595f9dbc521567540c4e2459cee,6.96,7.07,7.07,7.07,7.0,7.0,3.03084838867,4.05
c5d9f6df4c0f429680000000c4417ae6ef6641f7fac5345ef3,111.95,119.03,119.03,119.03,22.0,14.0,16.1817834473,4.07
4183d52ac4626900bf80000000c442a8f2e4c5fd10a6800000004983e200,1.85,2.09,2.09,2.09,3.0,2.0,4.11408996582,4.05
660fc26d402a660f73f02a66440f2f9e80000000c4e2d1ba4f4048836e402a,5.0,5.12,7.17,5.12,6.0,6.0,7.30593994141,9.1
83ad800000002af2440f59af80000000c5fa6fae80000000c5795176408395800000002a,14.0,14.13,16.2,14.13,13.0,14.0,7.605788574220001,19.06
440f12fcc463f9168f800000002af20f5cc3c4435d4cfd30488b4e40,4.0,4.03,4.03,4.03,4.0,4.0,3.62840209961,5.02
c524564540c462559a978000000066440f3839f70f48cbc463050fc22a,5.0,5.1,5.1,5.1,5.0,5.0,3.58581787109,4.05
c4431d0fca2a4d0fbdd0c4e269027740c5585e4740c578119780000000,7.0,7.17,7.18,7.18,7.0,7.0,13.1994665527,4.05
c5cd56a580000000c4e279bcdec4e30d025e402a483196800000000f584f40,3.0,3.13,7.12,3.13,6.0,8.0,6.738636474610001,4.07
49f7ea4c034540440f11b680000000c442791ed1c4634506e82a,3.84,4.03,4.03,4.03,3.0,1.5,2.03091018677,3.06
c5e258dc440f57dac4627d1dfb48c1a7800000002a0fbe5640,3.42,3.54,7.04,3.54,6.0,6.0,5.58237304688,6.04
4c03a6800000004183c32ac462f1baaf80000000c44299bcfdc505e59d80000000,5.5,5.22,5.22,5.22,5.68,5.0,5.20948791504,4.07
c55d63574080454000c44178c6e52ac5785bb78000000066440ffb7740,2.0,3.13,7.11,3.13,6.0,6.0,6.63214172363,3.06
c559fd878000000066338780000000c4c37d05cc2ac5b1f67f40c585618f80000000,2.0,2.63,2.63,2.63,2.12,2.0,5.4933563232400004,4.06
c535c6f72ac4c13dc6e02a480fbddaf3440f7f9d80000000c4e2859a6e40,5.0,5.11,5.11,5.11,5.0,5.0,5.46655334473,5.03
480fb7d2c5e9e4c9c4e2819a6f4066410f73d32ac4c27920f2,5.0,5.09,5.09,5.09,5.0,5.0,2.6637139892599997,4.06
4c0f469680000000f20f5ef966440fb66740c4e32d024f402a440f404f40,14.0,20.04,20.04,20.04,10.0,14.0,13.5691882324,8.04
f2440f109e80000000660f3a21ff2a66440fda8580000000c501f87640c4c12158cf,2.0,2.09,2.09,2.09,2.12,2.0,1.8904823303200002,2.06
c5fa7f5f404439f3c57910ae80000000660f5f4d40c4417b12ca,3.0,3.1,3.1,3.1,3.0,3.0,2.24245803833,5.05
660fd8d9c4e3fd0047402ac1e2006683a6800000002a664d0f3a22f52a,2.67,3.11,7.14,3.11,6.0,6.0,5.80545593262,4.1
c59d71d32a49f7d266440f575640660fbaa58000000000c4417ae6f5,1.49,2.08,2.08,2.08,3.0,1.25,2.6838293456999995,5.03
c46231ada680000000c4634546c32a0f964740c4e3f91687800000002ac4e26db8ef,4.95,5.08,5.13,5.13,5.0,5.0,3.50040435791,4.04
80a5800000002ac5795af7c4c3214cdf30c5fdfeae800000000f16c4,3.88,4.07,7.06,4.07,6.0,6.0,6.110363769529999,7.06
66f7ae80000000c5fa116e40c5d9687f40c442290dea66440fdb7640,3.0,4.09,4.09,4.09,5.0,2.0,3.71354980469,4.05
83c02a4983ce2ac4417c52f9c58251c066440f578780000000,7.0,11.16,11.16,11.16,10.0,13.0,7.467212524410001,6.1
c5f962be800000000fbae000c5e166d5c4c149f5ec660fe68580000000,1.96,2.18,2.18,2.18,3.0,2.0,9.00401123047,4.03
