bb,iaca.hsw,llvm-mca.13-r+a.hsw,llvm-mca.9-r+a.hsw,llvm-mca.8-r+a.hsw,uica.hsw,osaca.0.4.6.hsw,ithemal.bhive.hsw,difftune.artifact.hsw
66f7af80000000c4e379057f402ac5035eec66440f6c5740c4c11df5e5,14.0,25.05,25.05,25.05,15.0,25.0,16.2081030273,9.07
c54dfe9d80000000480f4f5540838f800000002a410fbfc1450f14ec,1.74,7.05,14.04,3.13,6.0,1.5,5.97727050781,7.12
c1878000000000c57d64dcf30f10d366450fdeccc4436d0fc52a,1.74,3.08,8.03,3.08,6.0,2.0,5.82023010254,4.05
66410f4cc2f2440f5ac9c441756cff440f536d40c5c9e48780000000,2.0,4.04,4.04,2.64,3.0,2.0,11.3991540527,4.01
660f71d22ac5dd6c654066440fdedfc5f9d6a7800000004d21c0,1.24,2.1,2.1,2.1,2.0,1.13,8.91849609375,8.06
480f4f564066440ffa7640c595579d8000000066440f635e40660fddb580000000,2.48,7.03,7.03,3.09,2.49,2.5,3.70795654297,7.03
804e40004883c02af645400066440f15a680000000c5fae6c1,1.75,3.08,7.04,3.08,6.0,1.25,6.214407958980001,7.04
c5ede0af800000006683d12a4c0f4476404d0fbcea4883cb00,1.8,7.05,7.05,3.09,3.0,2.0,3.54814056396,5.04
c57b2db780000000c57d5ad0c462e3f74640c4e27d1e76404c0f465640,2.21,8.06,8.06,4.1,5.0,2.25,4.10951904297,4.05
c5f85a5f404c0f4fb780000000f76f40c59976c8c46325064f402a,2.97,7.07,7.07,4.13,5.0,2.0,3.75775756836,8.06
48837d402ac441792ed8c462c9be6d4066440ffced440f477640,5.97,11.05,11.05,11.05,6.0,1.75,3.0320983886699997,3.08
66440f3a0fdf2a4c0f4daf80000000c4412258d1c5a1fcc3480f4f9680000000,1.71,7.05,7.05,2.59,3.0,1.75,3.80670349121,11.08
83ad800000002ac545156640c578295640c4411deac6660f3a0fe62a,1.79,3.1,8.05,3.11,6.0,6.0,6.61056274414,14.95
66410f58fc66440f3a0e4f402ac4e22939464066440f4c4e40c581616540,2.92,7.05,7.05,3.1,3.0,3.0,15.6902929688,5.06
4183f62a6683c22a660f74e40fbab78000000000c579ef6d40,1.49,3.09,7.05,3.09,6.0,1.25,6.0590222168,2.05
c57a2ada6683e02a66450f6ee3c0ad8000000000c50958d0,1.75,3.08,7.04,3.08,6.0,6.0,6.4247088623,4.07
c4c12dd8edf20f107f40c1c12a83be800000002a66c16e402a,1.77,3.09,7.1,3.09,6.0,6.0,5.7455065918,4.07
c5955957406659c44139dedc48018580000000c4c13156d5,1.5,6.04,7.15,6.03,6.0,6.0,5.752274169920001,7.09
c5cdda7f40c4427978d5415366440fdf9f80000000c571624d40,1.82,3.09,3.1,3.1,2.0,5.0,2.13509933472,4.07
c57358edc14f402ac4c12858e44c0f426640c4e25139c7,2.0,8.72,15.04,4.16,6.0,2.0,7.886146850589999,4.07
f3440f5f76400fbaaf8000000000440f148e800000000f9c4640c4e3212285800000002a,2.98,8.05,9.11,4.1,6.0,6.0,7.40360351562,4.06
c4417a5bedc4c12854e9f2440f5a7540f30fbcd0480f468d80000000,2.85,9.05,9.05,3.13,3.0,3.0,10.1187927246,5.05
480fbab6800000002ac442513dd0c4e27d1da580000000c4e27918f9c570c25e402a,1.85,3.11,7.07,3.11,6.0,2.0,6.119318847660001,4.06
c5f9df7740660f3a0b66402a807f40004d0f44f2440f535d40,2.0,6.1,3.14,3.14,3.0,2.0,3.8154473877,4.03
c5fd6ab58000000066440f3a0af02a0fbcd8c4e231bb7740c57a5b7540,3.88,2.15,2.14,2.14,4.0,4.0,4.7978732299799995,7.07
c553594640c0a580000000000f9847400f988580000000450fb7f2,2.63,9.05,11.13,4.13,4.0,6.0,6.208716430660001,8.08
48c187800000002ac4c15d67e5c44165eee8c4c16975da0f14e4,1.74,3.08,8.03,3.08,6.0,2.0,5.99338562012,3.08
c4413560de66440f117640c5c972f12ac5d173fe2ac5fee6bf80000000,1.72,3.14,3.14,3.14,2.0,2.0,2.9916986084,3.04
0f928780000000c5755946404883e000c5cd595f40f20f70f92a,1.49,3.14,3.14,3.14,2.0,1.5,2.90141052246,4.07
c4431518ee2ac04f400066440f4f47402400c462499e9680000000,5.0,8.52,15.04,5.12,6.24,3.0,6.13942077637,5.05
f3904883664000f34c0fb8d14883d12ac57d296d40,2.77,6.1,13.03,13.03,9.0,6.0,6.0636138916,13.03
c58163e566c17e402a66440ffdd1c4623998c8c462d5ac9680000000,6.0,12.06,12.06,12.06,6.0,5.0,6.35896362305,2.06
664431cb440fc67f402ac599d4d9c1ea0066c166402a,1.77,3.09,7.1,3.09,6.0,6.0,5.5235693359399995,4.08
f30f5ed3440f104f40c569607d40440fbc8d8000000048138680000000,6.68,13.04,13.04,13.04,10.0,7.0,11.3060803223,5.08
c4412a2acec4c15de4cd450f5edfc4e299bae6c4c2ad47f9,6.95,13.04,13.04,13.04,10.0,7.0,11.227322998,4.08
48f746402a000000c52414e4480f49978000000048c185800000002a660fbaaf8000000000,2.21,7.1,15.16,5.11,6.58,6.0,7.05865905762,4.02
c5b816c80f40564066410f383fe8c5915cec4c019680000000,1.77,7.05,14.03,2.64,6.0,6.0,6.076827392579999,8.1
c443054bf3d066410f72e02a664183d02a450f5eedc4e2859aa580000000,6.67,13.04,13.04,13.04,10.0,13.0,9.2939239502,6.03
c5f5fa5640984d0fafccc541d4958000000066440f4c5540,2.73,7.06,7.06,3.11,3.0,3.0,4.36070129395,7.07
c463796377402a660f119680000000c4631d187d402a0fbaf22af2440f5a4640,2.95,9.05,9.05,3.18,5.0,3.0,2.40574829102,3.07
c44171e4f1660f381e7e40c4c109f8db4d0fbcce660f409e80000000,1.49,7.07,7.07,2.13,3.0,1.63,7.54762695312,5.03
f3440f10e5660ff97e40c5e1146d40c4e269bd6e4066410f15fc,2.95,7.04,7.04,7.04,2.96,3.0,5.986724853519999,7.07
0fbab78000000000c5a45e9d800000004c0f48e2c52855db806d4000,14.0,28.05,28.93,28.05,19.0,22.0,7.46184509277,6.06
66440f3a0fad800000002af3440f5eb68000000066440f3a0b96800000002ac1c12af7d0,6.85,13.08,13.08,13.08,7.0,7.0,10.7472937012,6.05
c57c115640c5f5e59780000000488b5f40660f55c166c18f800000002a,1.74,3.13,9.14,3.13,6.0,2.0,9.7156854248,3.05
c4e2791e5e4083b5800000002ac14f4000c463294bc5a0fc,2.95,5.08,15.1,5.08,8.0,2.34,8.31738647461,5.06
440f47a780000000668b4540c53957b780000000410fc9c4c16ddce2,1.95,8.03,8.03,3.08,3.0,1.75,4.55671539307,3.06
49c1fb2ac4625d404d4066440f382b95800000004c139d800000004d39e4,2.63,7.11,8.04,8.04,3.0,2.17,4.0791921997100005,2.06
c4e2719e5f40c4e3f92287800000002a8366402ac441f96ed1c4c109ebdd,1.72,3.1,7.14,3.1,6.0,6.0,8.97076904297,5.04
c5ede56f4066f3440fbc4740c4417ee6f3c5fd10a7800000000f9a4740,1.85,3.12,3.14,3.14,11.0,2.0,7.78797851562,5.09
c462791d4f404883c000c0454000c50d6696800000000f124740,1.95,6.06,8.1,6.06,6.0,1.5,6.81862182617,5.06
c5305ecb4183e82a4183d02ac59d765e4066c18f8000000000,6.77,13.04,13.05,13.04,10.0,13.0,11.9016149902,5.02
440f4776404883f02a66410f71e52ac4e27917664066410f3a0fea2a,1.95,8.05,8.05,3.16,4.0,2.25,3.75511962891,4.04
c0af800000002ac4426d36cec5f9746e40c57a6f7f40410fbaec00,1.5,3.08,7.04,3.08,6.0,6.0,6.32321166992,5.05
0f4f4540c462792bfdc5995cad80000000c4c14d63d54c296f40,1.77,7.05,14.06,3.13,6.0,5.0,5.975365600589999,6.05
660f4e978000000066410f3a63c42ac44135fcd8f20f5a8e80000000c591fdad80000000,3.0,9.05,9.05,4.14,4.0,3.0,5.329909667970001,5.04
c5ddeeaf8000000066440f2fae8000000048834f402a8396800000000083f02a,2.26,8.12,16.11,4.16,7.0,7.0,6.46679321289,5.09
c4c28bf7d1c5dd57d9c5fe6fb68000000066c1af800000000066440f3a15bf800000002a,1.84,3.08,9.1,3.1,2.99,2.0,5.1135345459,5.09
66440f38005540660ffe75406a00f2440f2c6740c4c105dfdc,1.67,3.11,3.11,3.11,2.0,1.67,6.783428344730001,3.05
66440f404540c07e402ac4c17f12f4c4c12963f7c4e27d58a680000000,1.74,7.04,14.03,3.12,6.0,3.0,5.88950500488,2.07
c5e1d4fd0f449e80000000c5116da580000000c4e2f947c8c4624546c8,2.89,7.03,7.03,3.08,5.0,3.0,3.5874420166,3.11
f20f5a8680000000c4416d58d4c4412161e648c14e4000c5256a5f40,3.0,9.03,9.11,4.11,6.0,3.0,10.4273400879,3.06
668367402a4183e02a66410f382bf74883be8000000000c4621d047640,1.49,3.14,7.1,3.14,6.0,6.0,6.15735900879,1.6
c57d7f674066834d402ac57ac2b7800000002ac4c161e0edc46261b8b680000000,1.74,3.16,8.1,3.15,6.0,2.0,6.5229119873000005,5.06
c4417c5bf383b5800000002a660f3a0a77402ac46379634f402a80b6800000002a,3.0,6.1,14.15,4.18,6.0,3.0,7.47232543945,5.03
66410fbcda66f30fbc4f40c57b11bd8000000066440f4c5f40c5797e6640,1.9,7.12,7.13,3.17,3.0,2.0,7.65743713379,3.09
4883f02ac4c13c56fac046402ac442fdb8d40f9a8580000000,5.0,9.05,10.04,5.05,6.0,5.0,6.90619628906,4.09
